wetlandtypecode,vyear,grouptypecode,ecramid,cramver,wetlandclass,wetlandsubclass,wetlandtypedisplay,wetlandtyperowid,userid,userid_updatedby,aaname,projectname,assessmentareaid,projectid,visitdate,createdate,lastupdate,practitioners,practitionerother,aacategorydesc,aacomment,legacygid,programcode,centroidlong,centroidlat,aasize_ha,county,ecoregion,aageomcomment,ispublic,isnottest,indexscore,buffer_landscape_cont,hydrology,physical_structure,biotic_structure,bankfulwidth,average_aa_width,length,upstreamlatitude,upstreamlongitude,downstreamlatitude,downstreamlongitude,datum,flowingwater_riverine,hydroregime_riverine,channelform_riverine,tidalstage_riverine,tidalstage_estuarine,mouthcondition,encompass_estuarine,wetlandorigindesc,managetypes,depressionaltypedesc,encompass_depressional,hydrostate_depressional,hydroregime_depressional,connectstreamfloodplain,definedoutlet,definedinlet,inletoutletsamelocation,distincttopobasin,vpcategorydesc,surfacewater,hydrodescription,peatsoils,encompass_slope,hydrostate_slope,hydroregime_slope
dvps,2016,sp,5620,6.1,depressional,vernal pool system,vernal pool system,8,124,,Montezuma Natural Pools,Vernal Pool System HDC Central Valley 2020-2021,,,5/13/16,11/27/16 20:39,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,,,,,-121.8721,38.09908,18.78448,Solano,bay/delta,,1,1,86,93.29,83.33,75,91.67,,,,,,,,,,,,,,,,,,,,ponded/inundated,medium-duration,0,,,,,natural,,,,,,
dvps,2016,sp,5621,6.1,depressional,vernal pool system,vernal pool system,8,124,,Montezuma Created Pools,Vernal Pool System HDC Central Valley 2020-2021,,,5/13/16,11/27/16 21:09,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,,,,,-121.875,38.09949,6.40347,Solano,bay/delta,"Created pools vs. natural pools, all exist in same area",1,1,77,93.29,91.67,66.67,58.33,,,,,,,,,,,,,,,,,,,portion of the wetland,,short-duration,0,,,,,created - portion of wetland,,,,,,
dvps,2016,sp,5622,6.1,depressional,vernal pool system,vernal pool system,8,124,,Rancho Seco Natural Pools,Vernal Pool System HDC Central Valley 2020-2021,,,5/11/16,11/28/16 6:05,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,,,,,-121.0806,38.34134,2.5225,Sacramento,sacramento valley,,1,1,88,93.29,83.33,83.33,91.67,,,,,,,,,,,,,,,,,,,portion of the wetland,"saturated soil, but no surface water",medium-duration,0,,,,,natural,,,,,,
dvps,2016,sp,5623,6.1,depressional,vernal pool system,vernal pool system,8,124,,Rancho  Seco Created Pools,Vernal Pool System HDC Central Valley 2020-2021,,,5/11/16,11/28/16 6:26,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,,,,,-121.07881,38.3417,0.78916,Sacramento,sacramento valley,,1,1,92,93.29,100,83.33,91.67,,,,,,,,,,,,,,,,,,,portion of the wetland,ponded/inundated,medium-duration,0,,,,,created - action unknown,,,,,,
dvps,2016,sp,5624,6.1,depressional,vernal pool system,vernal pool system,8,124,,Stillwater Created Pools,Vernal Pool System HDC Central Valley 2020-2021,,,5/12/16,11/28/16 6:49,54:27.8,Cara Clark (lead practitioner),J Schweitzer,,,,,-122.25892,40.50708,3.83711,Shasta,sacramento valley,,1,1,78,77.79,83.33,75,75,,,,,,,,,,,,,,,,,,,portion of the wetland,dry,medium-duration,0,,,,,created - action unknown,,,,,,
dvps,2016,,5625,6.1,depressional,vernal pool system,vernal pool system,8,124,,Stillwater Natural Pools,,,,5/12/16,11/28/16 6:59,54:27.8,Cara Clark (lead practitioner),J Schweitzer,,,,,-122.26378,40.50842,0.49467,Shasta,sacramento valley,,1,1,73,80.79,91.67,58.33,62.5,,,,,,,,,,,,,,,,,,,,dry,medium-duration,0,,,,,natural,,,,,,
dvps,2016,,5627,6.1,depressional,vernal pool system,vernal pool system,8,124,,Borrow Pit - Fort Hunter Liggett,,,,3/28/16,11/28/16 13:20,54:27.8,"Cara Clark (lead practitioner), Jason Bachiero (other practitioner)",,,,,,-121.17033,35.96687,9.00257,Monterey,central coast,,1,1,79,68.29,91.67,83.33,70.83,,,,,,,,,,,,,,,,,,,entire wetland,ponded/inundated,medium-duration,0,,,,,created - portion of wetland,,,,,,
dvps,2016,sp,5628,6.1,depressional,vernal pool system,vernal pool system,8,124,,Parking Lot Pools - Fort Hunter Liggett,2016 Vernal Pool Validation,,,3/28/16,11/28/16 13:25,54:27.8,"Cara Clark (lead practitioner), Jason Bachiero (other practitioner)",,,,,General,-121.18508,35.95987,1.98008,Monterey,central coast,,1,1,68,67.25,91.67,58.33,54.17,,,,,,,,,,,,,,,,,,,entire wetland,ponded/inundated,long-duration,0,,,,,natural,,,,,,
dvps,2016,sp,5629,6.1,depressional,vernal pool system,vernal pool system,8,124,,Madera Caltrans 77-86,Vernal Pool System HDC Central Valley 2020-2021,,,4/13/16,11/28/16 13:44,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",F. Cannizzo,,,,,-119.79233,36.94385,0.56752,Madera,san joaquin valley,,1,1,80,90.29,91.67,66.67,70.83,,,,,,,,,,,,,,,,,,,portion of the wetland,"saturated soil, but no surface water",medium-duration,0,,,,,restored - action unknown,,,,,,
dvps,2016,sp,5631,6.1,depressional,vernal pool system,vernal pool system,8,124,,Madera Caltrans 48-55,Vernal Pool System HDC Central Valley 2020-2021,,,4/13/16,11/28/16 14:03,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",Francesca Cannizzo,,,,,-119.78912,36.94841,0.79148,Madera,san joaquin valley,,1,1,88,93.29,100,83.33,75,,,,,,,,,,,,,,,,,,,portion of the wetland,ponded/inundated,medium-duration,0,,,,,created - action unknown,,,,,,
divp,2016,sa,5683,6.1,depressional,individual vernal pool,individual vernal pool,6,124,,NWCA16 - 1255,NWCA-2016,,,6/30/16,1/24/17 15:38,54:27.8,Cara Clark (lead practitioner),"Mo Wise, Jenny Balmagia, Vanessa Stevens, Matt Smith, Skyler Roe",ambient,AA is standard size within 20 ha vernal pool<br />,,General,-120.95102,41.4918,0.50059,Modoc,modoc,,1,1,93,93.29,100,87.5,91.67,,,,,,,,,,,,,,,,,,,portion of the wetland,ponded/inundated,long-duration,0,,,,,restored - portion of wetland,,,,,,
dvps,2016,sp,5731,6.1,depressional,vernal pool system,vernal pool system,8,124,,Miramar/Kearny Villa Rd.,2016 Vernal Pool Validation,,,4/1/16,2/20/17 17:06,54:27.8,"Cara Clark (lead practitioner), Lance Woolley (other practitioner), Lindsay Teunis (other practitioner)",,ambient,,,General,-117.11538,32.86408,0.22145,San Diego,south coast,,1,1,71,71.54,100,58.33,54.17,,,,,,,,,,,,,,,,,,,entire wetland,moist,medium-duration,0,,,,,restored - action unknown,,,,,,
dvps,2016,sp,5764,6.1,depressional,vernal pool system,vernal pool system,8,124,,Miramar Natural Pools,2016 Vernal Pool Validation,,,4/1/16,4/25/17 13:07,54:27.8,"Cara Clark (lead practitioner), Lance Woolley (other practitioner), Lindsay Teunis (other practitioner)",,,,,General,-117.14595,32.84574,0.57561,San Diego,south coast,,1,1,87,93.29,100,83.33,70.83,,,,,,,,,,,,,,,,,,,,dry,short-duration,0,,,,,natural,,,,,,
dvps,2016,,5825,6.1,depressional,vernal pool system,vernal pool system,8,124,,Woodbridge,,,,4/25/16,6/9/17 12:46,54:27.8,Cara Clark (lead practitioner),Jason Vollmar,restoration,,,,-122.76374,38.47726,2.34619,Sonoma,bay/delta,,1,1,82,62.5,91.67,83.33,91.67,,,,,,,,,,,,,,,,,,,portion of the wetland,ponded/inundated,medium-duration,0,,,,,created - portion of wetland,,,,,,
dvps,2016,sp,5827,6.1,depressional,vernal pool system,vernal pool system,8,124,,Cocklebur (Camp Pendleton),2016 Vernal Pool Validation,,,3/31/16,6/9/17 13:02,54:27.8,Cara Clark (lead practitioner),"L. Tennis, Jim",,,,General,-117.42899,33.25814,0.91884,San Diego,south coast,,1,1,72,61.42,100,66.67,58.33,,,,,,,,,,,,,,,,,,,,dry,short-duration,0,,,,,natural,,,,,,
dvps,2016,sp,5834,6.1,depressional,vernal pool system,vernal pool system,8,124,,Wire Mountain,2016 Vernal Pool Validation,,,3/31/16,6/12/17 13:31,54:27.8,"Cara Clark (lead practitioner), Lindsay Teunis (other practitioner), Jim Asmus (other practitioner)",,ambient,,,General,-117.37663,33.22958,0.41965,San Diego,south coast,,1,1,73,75,100,66.67,50,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2017,sp,5847,6.1,depressional,vernal pool system,vernal pool system,8,124,,Carinelli,2016 Vernal Pool Validation,,,6/28/17,6/28/17 13:11,54:27.8,Cara Clark (lead practitioner),J. Vollmar,,,,General,-122.77847,38.38373,2.45679,Sonoma,bay/delta,,1,1,86,90.29,83.33,91.67,79.17,,,,,,,,,,,,,,,,,,,portion of the wetland,"saturated soil, but no surface water",medium-duration,0,,,,,created - action unknown,,,,,,
dvps,2016,sp,5848,6.1,depressional,vernal pool system,vernal pool system,8,124,,Dennery West,2016 Vernal Pool Validation,,,3/30/16,6/28/17 13:36,54:27.8,Cara Clark (lead practitioner),"L. Tennis, Linnea Spears-Lebrun",,,,General,-117.01371,32.5726,0.18371,San Diego,south coast,,1,1,85,71.54,100,91.67,75,,,,,,,,,,,,,,,,,,,portion of the wetland,"saturated soil, but no surface water",short-duration,0,,,,,created - action unknown,,,,,,
divp,2018,,6521,6.1,depressional,individual vernal pool,individual vernal pool,6,2490,,Hwy 41 CRAM IndivVP_AA2,,IndivVP_AA2,3817-13,5/17/18,8/27/18 12:11,34:59.4,Ellen Pimentel (lead practitioner),,impacted,Wetland may be impacted by highway improvements.<br />,,,-119.79414,36.99754,0.02447,Madera,sierra,,1,1,75,80.63,75,75,70.83,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
divp,2018,,6530,6.1,depressional,individual vernal pool,individual vernal pool,6,2490,,Hwy 41 CRAM IndivVP_AA5,,IndivVP_AA5,3817-13,5/17/18,8/29/18 16:37,45:44.7,Ellen Pimentel (lead practitioner),,impacted,Wetland may be impacted by highway improvements.<br />,,,-119.79424,36.99178,0.02476,Madera,sierra,,1,1,71,70.42,91.67,62.5,58.33,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
divp,2018,,6531,6.1,depressional,individual vernal pool,individual vernal pool,6,2490,,Hwy 41 CRAM IndivVP_AA4,,IndivVP_AA4,3817-13,5/17/18,8/29/18 16:47,56:00.7,Ellen Pimentel (lead practitioner),,impacted,Wetland potentially impacted by highway improvements.<br />,,,-119.79419,37.00052,0.10173,Madera,sierra,,1,1,64,82.92,91.67,37.5,45.83,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
divp,2018,,6532,6.1,depressional,individual vernal pool,individual vernal pool,6,2490,,Hwy 41 CRAM IndivVP_AA3,,IndivVP_AA3,3817-13,5/17/18,8/29/18 16:57,23:51.8,Ellen Pimentel (lead practitioner),,impacted,Wetland may be impacted by highway improvements.<br />,,,-119.79442,36.97328,0.02853,Madera,san joaquin valley,,1,1,73,82.92,91.67,50,66.67,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
divp,2018,,6583,6.1,depressional,individual vernal pool,individual vernal pool,6,2490,,Hwy 41 CRAM Indiv VP AA1,,Indiv VP AA1,Hwy 41 Ranchos,5/17/18,9/20/18 15:04,26:07.0,Ellen Pimentel (lead practitioner),,,,,,-119.79418,36.99713,0.0599,Madera,sierra,,1,1,76,82.92,75,75,70.83,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
dvps,2018,,6584,6.1,depressional,vernal pool system,vernal pool system,8,2490,,Hwy 41 CRAM VPS_AA1,,VPS_AA1,Hwy 41 Ranchos,5/17/18,9/20/18 15:42,15:23.0,Ellen Pimentel (lead practitioner),,,AA encompasses upper microwatershed of a vernal pool system that drains to larger swales and pools to the west.<br />,,,-119.79471,37.00705,0.34882,Madera,sierra,,1,1,71,82.92,83.33,83.33,33.33,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
dvps,2018,,6585,6.1,depressional,vernal pool system,vernal pool system,8,2490,,Hwy 41 CRAM VPS_AA2,,VPS_AA2,Hwy 41 Ranchos,5/17/18,9/20/18 16:14,15:23.0,Ellen Pimentel (lead practitioner),,,AA encompasses small pool cluster within a larger landscape of vernal pools and swales (which become ephemeral streams lower in watershed).<br />,,,-119.79522,36.97124,0.31668,Madera,san joaquin valley,,1,1,78,85.38,91.67,66.67,66.67,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,1,,,,,natural,,,,,,
dvps,2018,,6586,6.1,depressional,vernal pool system,vernal pool system,8,2490,,Hwy 41 CRAM VPS_AA3,,VPS_AA3,Hwy 41 Ranchos,5/17/18,9/20/18 17:04,15:23.0,Ellen Pimentel (lead practitioner),,,Small cluster of pools to the south of a swale system that drains towards the Madera Canal.<br />,,,-119.79477,36.99014,0.32426,Madera,sierra,,1,1,83,82.92,91.67,83.33,75,,,,,,,,,,,,,,,,,,,entire wetland,dry,short-duration,0,,,,,natural,,,,,,
dvps,2020,sp,7526,6.2,depressional,vernal pool system,vernal pool system,8,2683,,10,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",10,307,5/5/20,6/1/20 12:52,11:27.2,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,ambient,<p>Photos not taken.</p><p>Point within Herbert Wetland Prairie Preserve - Sequoia Riverlands Trust.&nbsp;</p>,,General,-119.19057,36.19237,0.19479,Tulare,san joaquin valley,,1,1,66,93.29,66.67,66.67,37.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
dvps,2020,sp,7527,6.2,depressional,vernal pool system,vernal pool system,8,2683,,12 - Stillwater Plains,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",12,307,5/21/20,6/1/20 16:08,10:16.9,"John Vollmar (lead practitioner), Madeline Dills (other practitioner)",,ambient,some pools wet from recent rain,,General,-122.26212,40.51107,0.54258,Shasta,sacramento valley,,1,1,84,93.29,91.67,75,75,,,,,,,,,,,,,,,,,,,entire wetland,"saturated soil, but no surface water",,,,,,,natural,,,,,,
dvps,2020,sp,7535,6.2,depressional,vernal pool system,vernal pool system,8,2683,,061 - Chance Ranch ,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",61,307,3/30/20,6/4/20 11:47,25:58.1,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner), John Vollmar (other practitioner)",,ambient,"<p>large, open, well-managed ranchland with high cover of vernal pools. excellent condition. Point in Chance Ranch. surrounded by large, undisturbed vernal pool landscape.</p>",,General,-120.42505,37.476,0.54161,Merced,san joaquin valley,,1,1,86,93.29,100,83.33,66.67,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,1,,,,,natural,,,,,,
dvps,2020,sp,7536,6.2,depressional,vernal pool system,vernal pool system,8,2683,,098 - Flying M Ranch ,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",98,307,4/1/20,6/4/20 14:47,51:03.4,"Henry Hwang (lead practitioner), Madeline Dills (other practitioner)",,ambient,<p>-many swales nearby that do connect with the floodplain of a nearby stream</p><p>-photos taken at AA centroid</p>,,General,-120.31547,37.36851,0.39757,Merced,san joaquin valley,,1,1,82,93.29,100,66.67,66.67,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2020,sp,7537,6.2,depressional,vernal pool system,vernal pool system,8,2683,,02 - TNC,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",2,307,5/12/20,6/4/20 15:26,32:34.0,"Cassie Pinnell (lead practitioner), Madeline Dills (other practitioner)",,ambient,<p>-does the vernal pool system connect with the floodplain of a nearby stream?: yes-there is a channel that vernal swale runs into.</p><p>-point within The Nature Conservancy land</p>,,General,-120.44083,37.40368,1.1605,Merced,san joaquin valley,,1,1,87,80.79,91.67,83.33,91.67,,,,,,,,,,,,,,,,,,,,dry,,,,,,,natural,,,,,,
dvps,2020,sp,7538,6.2,depressional,vernal pool system,vernal pool system,8,2683,,109 - Richards Ranch,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",109,307,3/31/20,6/4/20 16:34,16:17.6,"John Vollmar (lead practitioner), Henry Hwang (other practitioner), Ivy Poisson (other practitioner)",,ambient,<p>At Richards Ranch.&nbsp;</p><p>Mariposa Creek nearby but VP system does not connect with its floodplain.</p>,,General,-120.21867,37.32276,0.59343,Merced,san joaquin valley,,1,1,82,93.29,100,66.67,66.67,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,0,,,,,natural,,,,,,
dvps,2020,sp,7539,6.2,depressional,vernal pool system,vernal pool system,8,2683,,066 - Robinson Ranch,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",66,307,3/30/20,6/4/20 17:09,16:37.6,"Cassie Pinnell (lead practitioner), John Vollmar (other practitioner), Misaki  Yonashiro (other practitioner)",,ambient,<p>some ponding.</p><p>no photos taken of site.&nbsp;</p>,,General,-120.43867,37.44484,0.86869,Merced,san joaquin valley,,1,1,88,93.29,100,83.33,75,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,0,,,,,natural,,,,,,
dvps,2020,sp,7540,6.2,depressional,vernal pool system,vernal pool system,8,2683,,130 - TNC,"Vernal Pool System HDC Central Valley 2020-2021, Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",130,307,5/12/20,6/5/20 14:11,34:33.8,"Cassie Pinnell (lead practitioner), Madeline Dills (other practitioner)",,ambient,"<p>large site, no noticeable disturbances, well-managed, grazed</p><p></p>",,General,-120.42716,37.39996,0.23164,Merced,san joaquin valley,,1,1,88,93.29,100,75,83.33,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2020,sp,7541,6.2,depressional,vernal pool system,vernal pool system,8,2683,,139 - Chance Ranch ,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021, Vernal Pool System HDC Central Valley 2020-2021",139,307,5/7/20,6/5/20 15:04,17:53.6,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,ambient,,,General,-121.03761,38.39525,1.11001,Sacramento,sacramento valley,,1,1,90,93.29,100,75,91.67,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7542,6.2,depressional,vernal pool system,vernal pool system,8,2683,,210 - Flying M Ranch ,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021, Vernal Pool System HDC Central Valley 2020-2021",210,307,4/1/20,6/5/20 15:47,27:10.8,,,ambient,"CRAM done by Eric Smith, not in system yet.&nbsp;",,General,-120.36225,37.364,0.09275,Merced,san joaquin valley,,1,1,93,93.29,100,91.67,87.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
dvps,2020,sp,7543,6.2,depressional,vernal pool system,vernal pool system,8,2683,,203 - Chance Ranch,"Vernal Pool System HDC Central Valley 2020-2021, Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",203,307,5/7/20,6/8/20 10:54,24:18.8,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,ambient,,,General,-121.03287,38.39208,0.91573,Sacramento,sacramento valley,,1,1,95,93.29,100,91.67,95.83,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7544,6.2,depressional,vernal pool system,vernal pool system,8,2683,,301 - Richards Ranch ,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",301,307,3/31/20,6/9/20 17:14,25:31.2,"John Vollmar (lead practitioner), Henry Hwang (other practitioner), Ivy Poisson (other practitioner)",,ambient,Point is at Richards Ranch.,,General,-120.23242,37.30962,0.17292,Merced,san joaquin valley,,1,1,70,93.29,100,33.33,54.17,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7545,6.2,depressional,vernal pool system,vernal pool system,8,2683,,162 - Flying M Ranch ,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",162,307,4/1/20,6/9/20 17:42,42:16.0,Henry Hwang (lead practitioner),,ambient,Point at Flying M Ranch. Photo facing west is missing.&nbsp;,,General,-120.31724,37.38829,0.54896,Merced,san joaquin valley,,1,1,81,93.29,100,66.67,62.5,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,0,,,,,natural,,,,,,
dvps,2020,sp,7546,6.2,depressional,vernal pool system,vernal pool system,8,2683,,175,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",175,307,5/5/20,6/9/20 18:04,36:04.6,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,ambient,,,General,-120.82041,38.18884,0.38731,Calaveras,sierra,,1,1,75,77.79,66.67,91.67,62.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7547,6.2,depressional,vernal pool system,vernal pool system,8,2683,,188 - Vina Plains Preserve,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021, Vernal Pool System CDF Central Valley 2020-2021",188,307,5/19/20,6/10/20 16:05,39:16.2,"Cassie Pinnell (lead practitioner), Madeline Dills (other practitioner)",,ambient,<p>Point at Vina Plains.</p><p></p>,,General,-122.00162,39.89654,2.12925,Tehama,sacramento valley,,1,1,88,93.29,100,66.67,91.67,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
