ObjectID,GlobalID,Monitoring Date,Monitor Names,Vernal Pool?,Vernal Pool Name or Number,Vernal Pool Axis,Project Site,Unlisted Project Site,Lagoon Transect Name/Number,Unlisted Lagoon Transect Name/Number,NCOS Transect Name/Number,NP Transect Name/Number,Unlisted NP Transect Name/Number,Transect Name/Number,Total Transect Length,Transect Start Time,Transect Finish Time,Transect Notes,Transect Distance of Quadrat,Side of Transect (Left or Right),Vernal Pool Zone,Quadrat Notes (Optional),Percent Bare Ground,Percent Natural Thatch,Percent Mowed/Trimmed Thatch,Thatch Notes (Optional),Count of Native Species,Sum of Native Cover,Count of Non-Native Species,Sum of Non-Native Cover,Count of Unknown Species,Sum of Unknown Cover,Sum of Thatch,Sum of Other Cover,Bare Ground,SUM of ALL COVER,CreationDate,Creator,EditDate,Editor,x,y
3605,22c3d320-2f86-46f4-9a49-f77fb2002662,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,4,Right,bottom,,0,99,0,,1,64,2,6,0,0,99,0,0,169,5/16/2023 6:54:31 PM,ccber_user,5/16/2023 6:54:31 PM,ccber_user,-119.88485364,34.41638356
3606,8b98f6e9-acc1-48ce-9e0f-c83d8f6729f8,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,6,Left,bottom,,0,99,0,,1,1,3,99,0,0,99,0,0,199,5/16/2023 6:54:32 PM,ccber_user,5/16/2023 6:54:32 PM,ccber_user,-119.88484635,34.41641162
3607,e4667c68-04fb-4973-9596-64ebfb0941b7,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,8,Right,bottom,,0,99,0,,2,7,2,25,0,0,99,0,0,131,5/16/2023 6:54:34 PM,ccber_user,5/16/2023 6:54:34 PM,ccber_user,-119.88491835,34.41637404
3608,2d73a630-e643-4a11-a93c-173a1b97d958,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,10,Left,bottom,,0,99,0,,1,1,2,75,0,0,99,0,0,175,5/16/2023 6:54:35 PM,ccber_user,5/16/2023 6:54:35 PM,ccber_user,-119.88493789,34.41637745
3609,d2bc76f0-6a57-402c-a4b5-af3b7ea9599e,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,12,Right,bottom,,0,99,0,,2,9,3,10,0,0,99,94,0,212,5/16/2023 6:54:37 PM,ccber_user,5/16/2023 6:54:37 PM,ccber_user,-119.88492375,34.41636941
3610,3ca57207-717a-4c32-b2e0-a5660436ec05,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,14,Left,bottom,,0,99,0,,2,11,2,25,0,0,99,96,0,231,5/16/2023 6:54:38 PM,ccber_user,5/16/2023 6:54:38 PM,ccber_user,-119.8849548,34.41637252
3611,2abb9db7-6967-43c3-8b0b-fcd28055852a,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,16,Right,bottom,,0,99,0,,2,68,2,4,0,0,99,97,0,268,5/16/2023 6:54:40 PM,ccber_user,5/16/2023 6:54:40 PM,ccber_user,-119.88502275,34.41637375
3612,cd147c2e-7cb3-4a2a-ad1e-0fe4b19cf03e,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,15,Left,,,0,99,0,,3,65,2,8,0,0,99,82,0,254,5/16/2023 6:54:42 PM,ccber_user,5/16/2023 6:54:42 PM,ccber_user,-119.88501938,34.4163521
3613,73d2660b-e738-4017-a19a-5671c02343cc,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,20,Right,bottom,,0,99,0,,3,23,1,20,0,0,99,91,0,233,5/16/2023 6:54:44 PM,ccber_user,5/16/2023 6:54:44 PM,ccber_user,-119.88501966,34.41634597
3614,a04411ba-116a-436c-99d4-6a68621fa1d2,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,22,Left,bottom,,2,80,0,,2,34,2,11,0,0,80,25,2,152,5/16/2023 6:54:46 PM,ccber_user,5/16/2023 6:54:46 PM,ccber_user,-119.88505575,34.41633062
3615,a0a02628-2d09-4405-ae38-b484b0da7ecd,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,26,Left,,,2,70,0,,3,36,1,8,0,0,70,18,2,134,5/16/2023 6:54:48 PM,ccber_user,5/16/2023 6:54:48 PM,ccber_user,-119.88511536,34.41635326
3616,b83e9e18-9540-4bb8-a797-f3176e4dc295,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,30,Left,bottom,,0,99,0,,2,34,2,13,0,0,99,96,0,242,5/16/2023 6:54:50 PM,ccber_user,5/16/2023 6:54:50 PM,ccber_user,-119.88515856,34.41633854
3617,a5a894c9-3d38-4022-a635-860e0a2a65c8,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,34,Left,bottom,,1,99,0,,2,24,2,35,0,0,99,88,1,247,5/16/2023 6:54:52 PM,ccber_user,5/16/2023 6:54:52 PM,ccber_user,-119.88515826,34.41630836
3618,460f2a6e-9496-4414-8917-e4d9890bbab0,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,38,Left,bottom,,0,98,0,,1,31,2,29,0,0,98,97,0,255,5/16/2023 6:54:53 PM,ccber_user,5/16/2023 6:54:53 PM,ccber_user,-119.88519448,34.41628016
3619,9fd40bc0-bbff-4370-abd2-2d0c56f2fd5f,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,minor,UNLISTED,Ellwood,,,,,,,22,14:00,,Phalaris lemmonii,0,Left,edge,,0,95,0,,0,0,4,108,0,0,95,0,0,203,5/22/2023 11:56:44 PM,ccber_user,5/22/2023 11:56:44 PM,ccber_user,-119.88518764,34.41648684
3620,73ae2577-0ec8-45f9-9597-5ed6ba197de4,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,minor,UNLISTED,Ellwood,,,,,,,22,14:00,,Phalaris lemmonii,4,Left,edge,,0,95,0,,1,3,2,102,0,0,95,0,0,200,5/22/2023 11:56:47 PM,ccber_user,5/22/2023 11:56:47 PM,ccber_user,-119.88516756,34.41645778
3621,2467a91f-2934-47bb-be87-a1f3451a6805,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,minor,UNLISTED,Ellwood,,,,,,,22,14:00,,Phalaris lemmonii,8,Left,bottom,,0,99,0,,1,2,2,46,0,0,99,85,0,232,5/22/2023 11:56:49 PM,ccber_user,5/22/2023 11:56:49 PM,ccber_user,-119.88517525,34.41644627
3622,52c73d93-41de-4684-8711-15af8584352b,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,minor,UNLISTED,Ellwood,,,,,,,22,14:00,,Phalaris lemmonii,12,Left,bottom,,0,99,0,,1,15,3,40,0,0,99,80,0,234,5/22/2023 11:56:50 PM,ccber_user,5/22/2023 11:56:50 PM,ccber_user,-119.88518462,34.41639742
3623,8f63e9f3-f7ac-4fdd-a2ef-d110e068dac6,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,minor,UNLISTED,Ellwood,,,,,,,22,14:00,,Phalaris lemmonii,16,Left,bottom,,0,99,0,,2,27,1,21,0,0,99,90,0,237,5/22/2023 11:56:51 PM,ccber_user,5/22/2023 11:56:51 PM,ccber_user,-119.88517419,34.41638813
3624,6564d8a5-4823-41e6-86d5-f70002b941e8,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,0,Left,edge,,1,95,0,,1,21,6,45,0,0,95,0,1,162,5/22/2023 11:56:54 PM,ccber_user,5/22/2023 11:56:54 PM,ccber_user,-119.8870902,34.41850973
3625,146db7ff-e4f8-4f2d-aa50-d94e7e086713,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,4,Left,transition,,0,93,0,,0,0,3,110,0,0,93,0,0,203,5/22/2023 11:56:55 PM,ccber_user,5/22/2023 11:56:55 PM,ccber_user,-119.88704189,34.41856707
3626,6baaea80-18bc-436d-8523-2aa7c2b62b0e,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,8,Left,transition,,0,99,0,,0,0,1,100,0,0,99,0,0,199,5/22/2023 11:56:57 PM,ccber_user,5/22/2023 11:56:57 PM,ccber_user,-119.88697072,34.41850603
3627,9d056ab9-2e7d-4a77-9ac6-13f6e8956aec,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,12,Left,bottom,,0,99,0,,1,17,3,48,0,0,99,0,0,164,5/22/2023 11:56:59 PM,ccber_user,5/22/2023 11:56:59 PM,ccber_user,-119.88692719,34.41851266
3628,5aeca044-e5e7-4d4d-87fb-e8a22ac6419f,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,Phalaris lemmonii in pool,2,Right,edge,,0,99,0,,0,0,4,115,0,0,99,0,0,214,5/22/2023 11:57:00 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:00 PM,joannatang@umail.ucsb.edu_ucsb,-119.885156459945,34.4164753867355
3629,0574dd2e-9fdf-4bda-8b6f-fcb57376af1e,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,16,Left,bottom,,0,99,0,,2,5,3,89,0,0,99,0,0,193,5/22/2023 11:57:00 PM,ccber_user,5/22/2023 11:57:00 PM,ccber_user,-119.88683332,34.41845197
3630,9cb9ca11-18f9-43d2-ab58-3227b7a90526,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,20,Left,transition,,0,99,0,,0,0,5,121,0,0,99,0,0,220,5/22/2023 11:57:02 PM,ccber_user,5/22/2023 11:57:02 PM,ccber_user,-119.88690856,34.4184668
3631,4a23fe53-1867-4a4e-9ce2-df470a7dbf32,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,Phalaris lemmonii in pool,6,Right,transition,,0,99,0,,2,4,4,66,0,0,99,0,0,169,5/22/2023 11:57:03 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:03 PM,joannatang@umail.ucsb.edu_ucsb,-119.885269378461,34.4164588039782
3632,e1d4427a-12ae-4a97-a536-eff325430667,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,major,UNLISTED,Ellwood,,,,,,,28,15:22,,,24,Left,edge,,0,99,0,,1,1,7,71,0,0,99,0,0,171,5/22/2023 11:57:03 PM,ccber_user,5/22/2023 11:57:03 PM,ccber_user,-119.88682756,34.41842211
3633,36fbb6bf-581f-4a95-b391-da80ad34f65c,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,Phalaris lemmonii in pool,10,Right,bottom,,3,96,0,,2,1,4,14,0,0,96,0,3,114,5/22/2023 11:57:06 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:06 PM,joannatang@umail.ucsb.edu_ucsb,-119.885303927588,34.4163710425829
3634,cbefb048-fea4-4d4d-8f74-86fb8c1724d4,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,minor,UNLISTED,Ellwood,,,,,,,22,16:20,,,0,Left,edge,,0,99,0,,0,0,5,107,0,0,99,0,0,206,5/22/2023 11:57:06 PM,ccber_user,5/22/2023 11:57:06 PM,ccber_user,-119.88679909,34.41846411
3635,f7f35bfd-aa85-40d6-a67c-08672ba3164e,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,minor,UNLISTED,Ellwood,,,,,,,22,16:20,,,4,Left,transition,,0,99,0,,1,3,3,109,0,0,99,0,0,211,5/22/2023 11:57:08 PM,ccber_user,5/22/2023 11:57:08 PM,ccber_user,-119.88682391,34.41846618
3636,79b2d05c-6b4c-4bd4-94ae-31f995bcad99,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,Phalaris lemmonii in pool,14,Right,bottom,,0,99,0,,2,11,3,21,0,0,99,0,0,131,5/22/2023 11:57:08 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:08 PM,joannatang@umail.ucsb.edu_ucsb,-119.885417233938,34.4164574600031
3637,8c7e9288-3705-440a-a400-a44d371f3aab,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,minor,UNLISTED,Ellwood,,,,,,,22,16:20,,,8,Left,transition,,0,99,0,,2,34,1,55,0,0,99,0,0,188,5/22/2023 11:57:09 PM,ccber_user,5/22/2023 11:57:09 PM,ccber_user,-119.88688759,34.41846762
3638,5b0deec6-722d-437f-8b80-a7af3fc2a5a0,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,minor,UNLISTED,Ellwood,,,,,,,22,16:20,,,12,Left,bottom,,0,99,0,,2,19,1,82,0,0,99,0,0,200,5/22/2023 11:57:10 PM,ccber_user,5/22/2023 11:57:10 PM,ccber_user,-119.88691741,34.41851262
3639,a9ca5118-d7c7-4b83-a21b-ed73345f03ae,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,Phalaris lemmonii in pool,18,Right,transition,,0,99,0,,1,38,2,2,0,0,99,0,0,139,5/22/2023 11:57:11 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:11 PM,joannatang@umail.ucsb.edu_ucsb,-119.885426104823,34.416427455584
3640,64109bf0-e6ce-4b3d-b930-1f56a497842e,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,minor,UNLISTED,Ellwood,,,,,,,22,16:20,,,16,Left,transition,,0,99,0,,0,0,1,93,0,0,99,0,0,192,5/22/2023 11:57:12 PM,ccber_user,5/22/2023 11:57:12 PM,ccber_user,-119.88695852,34.41849233
3641,10160353-ada3-4e49-b782-c2bc15a59b39,5/22/2023 7:00:00 PM,"Joanna T, Johnny A",yes,2,minor,UNLISTED,Ellwood,,,,,,,22,16:20,,,20,Left,edge,,0,99,0,,1,10,4,112,0,0,99,0,0,221,5/22/2023 11:57:13 PM,ccber_user,5/22/2023 11:57:13 PM,ccber_user,-119.88699858,34.41850938
3642,774631ca-09e0-42ea-87f4-e769043a011e,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,14:23,Phalaris lemmonii in pool,22,Right,edge,,0,99,0,,0,0,1,99,0,0,99,0,0,198,5/22/2023 11:57:14 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:14 PM,joannatang@umail.ucsb.edu_ucsb,-119.885482901469,34.4163686526759
3643,4d5db85f-1381-4b19-95ff-409931c406a1,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,Phalaris lemmonii in pool,20,Left,transition,,0,99,0,,1,3,4,13,0,0,99,0,0,115,5/22/2023 11:57:17 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:17 PM,joannatang@umail.ucsb.edu_ucsb,-119.885221631522,34.4163658939401
3644,c7aa0393-28ce-4659-b353-77dc170395c1,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,2,Right,transition,,1,98,0,,1,2,6,54,0,0,98,0,1,155,5/22/2023 11:57:28 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:28 PM,joannatang@umail.ucsb.edu_ucsb,-119.886776178378,34.4183501053164
3645,49fbfa7c-6ba4-49d4-bbeb-d14a461bda26,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,4,Right,transition,,0,99,0,,1,1,6,105,0,0,99,0,0,205,5/22/2023 11:57:32 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:32 PM,joannatang@umail.ucsb.edu_ucsb,-119.887064182429,34.4184949826536
3646,10ba8bfb-1d11-4b6b-a34e-2da6054ed83e,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,10,Right,bottom,,0,99,0,,2,2,1,69,0,0,99,0,0,170,5/22/2023 11:57:35 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:35 PM,joannatang@umail.ucsb.edu_ucsb,-119.886992798203,34.4184846880652
3647,3749c47a-6e06-41b8-9708-8618c19071f3,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,14,Right,bottom,,0,99,0,,2,26,1,48,0,0,99,0,0,173,5/22/2023 11:57:38 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:38 PM,joannatang@umail.ucsb.edu_ucsb,-119.886972993191,34.4185182509848
3648,74b0f017-f5b3-4636-80e4-12c52941068b,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,18,Right,transition,,1,98,0,,1,3,6,67,0,0,98,0,1,169,5/22/2023 11:57:41 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:41 PM,joannatang@umail.ucsb.edu_ucsb,-119.886918240688,34.418458023659
3649,d20958b6-98fd-4b6a-8c26-d0e59a83a80c,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,22,Right,transition,,1,98,0,,1,1,5,93,0,0,98,0,1,193,5/22/2023 11:57:44 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:44 PM,joannatang@umail.ucsb.edu_ucsb,-119.886855408275,34.4184815426903
3650,c157837c-7f15-4e9c-8052-40a3968eb8fe,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,,,26,Right,transition,,3,45,0,,1,3,9,52,0,0,45,0,3,103,5/22/2023 11:57:47 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:47 PM,joannatang@umail.ucsb.edu_ucsb,-119.886806879311,34.4185229226707
3651,7ac5ac99-4a05-4190-859b-aaa728efaf7d,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,major,UNLISTED,Ellwood Mesa,,,,,,,28,15:34,16:15,,28,Left,edge,,1,98,0,,1,1,7,41,0,0,98,0,1,141,5/22/2023 11:57:53 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:53 PM,joannatang@umail.ucsb.edu_ucsb,-119.88683645395,34.4183953540201
3652,b4b23d90-519c-4417-bab7-2d12115d19d0,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,,2,Right,edge,,0,99,0,,0,0,7,88,0,0,99,0,0,187,5/22/2023 11:57:57 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:57:57 PM,joannatang@umail.ucsb.edu_ucsb,-119.886979060166,34.4184313941852
3653,8a06ae00-f0a5-4c47-9222-d93cf447dc2c,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,,6,Right,transition,,0,99,0,,2,11,5,73,0,0,99,0,0,183,5/22/2023 11:58:00 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:58:00 PM,joannatang@umail.ucsb.edu_ucsb,-119.886905091629,34.4184050987356
3654,1bc941e0-2680-472b-b6a3-77b05bf805f2,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,,10,Right,bottom,,0,99,0,,2,7,3,50,0,0,99,0,0,156,5/22/2023 11:58:03 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:58:03 PM,joannatang@umail.ucsb.edu_ucsb,-119.886944606055,34.4184426565015
3655,d291d97d-3098-452f-9d9b-d2b0d892bdbb,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,,14,Right,transition,,0,99,0,,0,0,1,90,0,0,99,0,0,189,5/22/2023 11:58:06 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:58:06 PM,joannatang@umail.ucsb.edu_ucsb,-119.886820351112,34.4184457228571
3656,5429ac38-0e75-42a1-9012-512b14afa815,5/22/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,2,minor,UNLISTED,Ellwood Mesa,,,,,,,22,15:34,,,18,Right,transition,,0,99,0,,0,0,4,107,0,0,99,0,0,206,5/22/2023 11:58:09 PM,joannatang@umail.ucsb.edu_ucsb,5/22/2023 11:58:09 PM,joannatang@umail.ucsb.edu_ucsb,-119.886826473307,34.4185001273698
